Language,Trial,Number of Digits
MATLAB,19,23267
MATLAB,20,23297
MATLAB,21,23333
MATLAB,22,23317
MATLAB,23,23216
MATLAB,24,23277
MATLAB,25,23241
MATLAB,26,23187
MATLAB,27,23394
MATLAB,28,23301
MATLAB,29,23301
MATLAB,30,23207
MATLAB,31,23266
MATLAB,32,23213
MATLAB,33,23274
MATLAB,34,23347
MATLAB,35,23329
MATLAB,36,23245
MATLAB,37,23246
MATLAB,38,23205
MATLAB,39,23214
MATLAB,40,23356
MATLAB,41,23260
MATLAB,42,23258
MATLAB,43,23156
MATLAB,44,23175
MATLAB,45,23308
MATLAB,46,23220
MATLAB,47,23260
MATLAB,48,23347
MATLAB,49,23417
MATLAB,50,23210
MATLAB,51,23265
MATLAB,52,23294
MATLAB,53,23279
MATLAB,54,23320
MATLAB,55,23333
MATLAB,56,23328
MATLAB,57,23330
MATLAB,58,23471
MATLAB,59,23253
MATLAB,60,23296
MATLAB,61,23341
MATLAB,62,23300
MATLAB,63,23277
MATLAB,64,23283
MATLAB,65,23386
MATLAB,66,23361
MATLAB,67,23347
MATLAB,68,23172
MATLAB,69,23088
MATLAB,70,23238
MATLAB,71,23278
MATLAB,72,23266
MATLAB,73,23219
MATLAB,74,23243
MATLAB,75,23245
MATLAB,76,23475
MATLAB,77,23208
MATLAB,78,23205
MATLAB,79,23181
MATLAB,80,23216
MATLAB,81,23190
MATLAB,82,23264
MATLAB,83,23343
MATLAB,84,23305
MATLAB,85,23281
MATLAB,86,23316
MATLAB,87,23199
MATLAB,88,23228
MATLAB,89,23276
MATLAB,90,23246
MATLAB,91,23314
MATLAB,92,23346
MATLAB,93,23232
MATLAB,94,23465
MATLAB,95,23302
MATLAB,96,23269
MATLAB,97,23261
MATLAB,98,23424
MATLAB,99,23260
MATLAB,100,23299
Python_NotWSL,1,4743
Python_NotWSL,2,4757
Python_NotWSL,3,4762
Python_NotWSL,4,4770
Python_NotWSL,5,4783
Python_NotWSL,6,4788
Python_NotWSL,7,4791
Python_NotWSL,8,4790
Python_NotWSL,9,4782
Python_NotWSL,10,4787
Python_NotWSL,11,4806
Python_NotWSL,12,4808
Python_NotWSL,13,4802
Python_NotWSL,14,4789
Python_NotWSL,15,4804
Python_NotWSL,16,4807
Python_NotWSL,17,4802
Python_NotWSL,18,4790
Python_NotWSL,19,4800
Python_NotWSL,20,4805
Python_NotWSL,21,4784
